,tanggal,pm10,so2,co,o3,no2,max,critical,categori
264,2010-09-22,55.0,15.0,64.0,45.0,22.0,64.0,CO,SEDANG
265,2010-09-23,57.0,20.0,53.0,57.0,25.0,57.0,PM10,SEDANG
266,2010-09-24,55.0,19.0,49.0,58.0,22.0,58.0,O3,SEDANG
267,2010-09-25,57.0,21.0,49.0,32.0,22.0,57.0,PM10,SEDANG
268,2010-09-26,32.0,15.0,20.0,46.0,11.0,46.0,O3,BAIK
269,2010-09-27,50.0,18.0,36.0,51.0,22.0,51.0,O3,SEDANG
270,2010-09-28,37.0,16.0,31.0,71.0,21.0,71.0,O3,SEDANG
271,2010-09-29,62.0,21.0,35.0,78.0,28.0,78.0,O3,SEDANG
272,2010-09-30,65.0,19.0,36.0,62.0,23.0,65.0,PM10,SEDANG
273,2010-10-01,34.0,5.0,23.0,26.0,12.0,34.0,PM10,BAIK
274,2010-10-02,50.0,8.0,31.0,39.0,14.0,50.0,PM10,BAIK
275,2010-10-03,44.0,8.0,37.0,41.0,19.0,44.0,PM10,BAIK
276,2010-10-04,40.0,10.0,33.0,33.0,12.0,40.0,PM10,BAIK
277,2010-10-05,59.0,14.0,43.0,75.0,26.0,75.0,O3,SEDANG
278,2010-10-06,79.0,23.0,46.0,34.0,24.0,79.0,PM10,SEDANG
279,2010-10-07,55.0,16.0,44.0,34.0,20.0,55.0,PM10,SEDANG
280,2010-10-08,63.0,14.0,36.0,35.0,20.0,63.0,PM10,SEDANG
281,2010-10-09,51.0,11.0,45.0,39.0,14.0,51.0,PM10,SEDANG
282,2010-10-10,41.0,19.0,23.0,55.0,14.0,55.0,O3,SEDANG
283,2010-10-11,56.0,20.0,39.0,54.0,26.0,56.0,PM10,SEDANG
284,2010-10-12,30.0,16.0,23.0,20.0,8.0,30.0,PM10,BAIK
285,2010-10-13,52.0,17.0,28.0,56.0,19.0,56.0,O3,SEDANG
286,2010-10-14,51.0,21.0,32.0,60.0,24.0,60.0,O3,SEDANG
287,2010-10-15,49.0,15.0,46.0,43.0,23.0,49.0,PM10,BAIK
288,2010-10-16,48.0,18.0,31.0,40.0,17.0,48.0,PM10,BAIK
289,2010-10-17,48.0,17.0,25.0,46.0,15.0,48.0,PM10,BAIK
290,2010-10-18,54.0,16.0,38.0,64.0,18.0,64.0,O3,SEDANG
291,2010-10-19,47.0,17.0,31.0,69.0,22.0,69.0,O3,SEDANG
292,2010-10-20,47.0,15.0,35.0,70.0,20.0,70.0,O3,SEDANG
293,2010-10-21,41.0,17.0,33.0,90.0,21.0,90.0,O3,SEDANG
294,2010-10-22,48.0,17.0,31.0,75.0,23.0,75.0,O3,SEDANG
295,2010-10-23,56.0,15.0,59.0,66.0,23.0,66.0,O3,SEDANG
296,2010-10-24,52.0,15.0,35.0,37.0,17.0,52.0,PM10,SEDANG
297,2010-10-25,43.0,18.0,38.0,58.0,23.0,58.0,O3,SEDANG
298,2010-10-26,37.0,15.0,48.0,32.0,18.0,48.0,CO,BAIK
299,2010-10-27,43.0,17.0,34.0,70.0,21.0,70.0,O3,SEDANG
300,2010-10-28,40.0,16.0,32.0,69.0,22.0,69.0,O3,SEDANG
301,2010-10-29,49.0,18.0,32.0,57.0,21.0,57.0,O3,SEDANG
302,2010-10-30,57.0,19.0,37.0,55.0,19.0,57.0,PM10,SEDANG
303,2010-10-31,39.0,12.0,30.0,36.0,14.0,39.0,PM10,BAIK
304,2010-11-01,55.0,10.0,32.0,23.0,16.0,55.0,PM10,SEDANG
305,2010-11-02,47.0,5.0,27.0,26.0,14.0,47.0,PM10,BAIK
306,2010-11-03,51.0,6.0,37.0,18.0,14.0,51.0,PM10,SEDANG
307,2010-11-04,45.0,10.0,31.0,21.0,11.0,45.0,PM10,BAIK
308,2010-11-05,60.0,14.0,42.0,60.0,24.0,60.0,O3,SEDANG
309,2010-11-06,60.0,21.0,33.0,27.0,14.0,60.0,PM10,SEDANG
310,2010-11-07,58.0,17.0,43.0,33.0,18.0,58.0,PM10,SEDANG
311,2010-11-08,60.0,15.0,23.0,34.0,10.0,34.0,O3,BAIK
312,2010-11-09,37.0,13.0,25.0,55.0,12.0,55.0,O3,SEDANG
313,2010-11-10,46.0,21.0,28.0,111.0,24.0,111.0,O3,TIDAK SEHAT
314,2010-11-11,53.0,20.0,30.0,50.0,20.0,53.0,PM10,SEDANG
315,2010-11-12,25.0,13.0,20.0,21.0,8.0,25.0,PM10,BAIK
316,2010-11-13,37.0,16.0,28.0,74.0,18.0,74.0,O3,SEDANG
317,2010-11-14,54.0,15.0,40.0,54.0,23.0,54.0,PM10,SEDANG
318,2010-11-15,51.0,19.0,27.0,36.0,16.0,51.0,PM10,SEDANG
319,2010-11-16,58.0,19.0,34.0,67.0,24.0,67.0,O3,SEDANG
320,2010-11-17,58.0,17.0,55.0,54.0,17.0,58.0,PM10,SEDANG
321,2010-11-18,61.0,16.0,32.0,65.0,38.0,65.0,O3,SEDANG
322,2010-11-19,68.0,20.0,49.0,74.0,21.0,74.0,O3,SEDANG
323,2010-11-20,64.0,19.0,35.0,70.0,24.0,70.0,O3,SEDANG
324,2010-11-21,67.0,18.0,34.0,110.0,19.0,110.0,O3,TIDAK SEHAT
